scenario,scenario_label,country,layer,DE,rho,multiplier,cum_dDWT,avg_dprice,exposure_channel,price_channel,structural_benchmark,avg_monthly_dlog,peak_month_dlog,pct_change_import,import_2024_usd,dollar_impact_usd
S3_6month_realignment,S3: 6-month persistent realignment,PYF,urea,0.0,0.0549912958025777,1.058191311422132,-5.1,0.1349482271532023,0.0,0.07446968103733087,0.0,0.07446968103733087,0.0,0.07731268002416715,78593.723,6076.291358207026
S3_6month_realignment,S3: 6-month persistent realignment,ROU,urea,0.0005461620903267,0.0549912958025777,1.058191311422132,-5.1,0.1349482271532023,5.444609500619525e-05,0.07446968103733087,-0.00023215978940015086,0.07422401156532604,0.0,0.07704804969400919,248467263.48000002,19143918.063941516
S3_6month_realignment,S3: 6-month persistent realignment,SGP,urea,0.1794042670501231,0.0549912958025777,1.058191311422132,-5.1,0.1349482271532023,0.017884547355685097,0.07446968103733087,-0.08104981944485666,-0.011296533691549005,-0.019351091171794548,-0.011232967439420932,5490741.314,-61677.318398445306
S3_6month_realignment,S3: 6-month persistent realignment,SLV,urea,0.0,0.0549912958025777,1.058191311422132,-5.1,0.1349482271532023,0.0,0.07446968103733087,0.0,0.07446968103733087,0.0,0.07731268002416715,15624916.65,1208004.1813657316
S3_6month_realignment,S3: 6-month persistent realignment,SRB,urea,0.0009328160964706,0.0549912958025777,1.058191311422132,-5.1,0.1349482271532023,9.299106384583796e-05,0.07446968103733087,-0.00039656617337121435,0.07405003815826551,0.0,0.07686068827366091,125895126.0,9676386.034659263
S3_6month_realignment,S3: 6-month persistent realignment,STP,urea,0.0,0.0549912958025777,1.058191311422132,-5.1,0.1349482271532023,0.0,0.07446968103733087,0.0,0.07446968103733087,0.0,0.07731268002416715,1698.595,131.3229317256502
S3_6month_realignment,S3: 6-month persistent realignment,SVK,urea,0.0,0.0549912958025777,1.058191311422132,-5.1,0.1349482271532023,0.0,0.07446968103733087,0.0,0.07446968103733087,0.0,0.07731268002416715,69090603.256,5341579.702207808
S3_6month_realignment,S3: 6-month persistent realignment,SVN,urea,0.0,0.0549912958025777,1.058191311422132,-5.1,0.1349482271532023,0.0,0.07446968103733087,0.0,0.07446968103733087,0.0,0.07731268002416715,31527923.367999997,2437508.251176646
S3_6month_realignment,S3: 6-month persistent realignment,SWE,urea,0.0,0.0549912958025777,1.058191311422132,-5.1,0.1349482271532023,0.0,0.07446968103733087,0.0,0.07446968103733087,0.0,0.07731268002416715,60004786.521,4639130.860216531
S3_6month_realignment,S3: 6-month persistent realignment,TGO,urea,0.0,0.0549912958025777,1.058191311422132,-5.1,0.1349482271532023,0.0,0.07446968103733087,0.0,0.07446968103733087,0.0,0.07731268002416715,78499943.755,6069041.033445433
S3_6month_realignment,S3: 6-month persistent realignment,THA,urea,0.5860808613369018,0.0549912958025777,1.058191311422132,-5.1,0.1349482271532023,0.05842553854035177,0.07446968103733087,-0.3140796312638367,-0.2578866558607282,-0.43614076697466453,-0.2273171937885713,971125744.5,-220753579.05557707
S3_6month_realignment,S3: 6-month persistent realignment,TTO,urea,0.0,0.0549912958025777,1.058191311422132,-5.1,0.1349482271532023,0.0,0.07446968103733087,0.0,0.07446968103733087,0.0,0.07731268002416715,18419.551,1424.064852651828
S3_6month_realignment,S3: 6-month persistent realignment,TUR,urea,0.0039941079846265,0.0549912958025777,1.058191311422132,-5.1,0.1349482271532023,0.00039816674691920935,0.07446968103733087,-0.0016996866913348491,0.0726710873484205,0.0,0.07537677371320742,886918935.0,66853087.86545392
S3_6month_realignment,S3: 6-month persistent realignment,UKR,urea,0.0,0.0549912958025777,1.058191311422132,-5.1,0.1349482271532023,0.0,0.07446968103733087,0.0,0.07446968103733087,0.0,0.07731268002416715,191815380.88,14829761.165689189
S3_6month_realignment,S3: 6-month persistent realignment,USA,urea,0.3107624684573593,0.0549912958025777,1.058191311422132,-5.1,0.1349482271532023,0.03097945313609766,0.07446968103733087,-0.14751092428612547,-0.08162509738209506,-0.13692310327299728,-0.07838258928314641,1867715374.0,-146396367.0580602
S3_6month_realignment,S3: 6-month persistent realignment,UZB,urea,0.0210063647001741,0.0549912958025777,1.058191311422132,-5.1,0.1349482271532023,0.0020940935822116925,0.07446968103733087,-0.008988770897611359,0.06495784177311441,0.0,0.06711403580024576,175185.0,11757.372361666054
S3_6month_realignment,S3: 6-month persistent realignment,YEM,urea,0.0,0.0549912958025777,1.058191311422132,-5.1,0.1349482271532023,0.0,0.07446968103733087,0.0,0.07446968103733087,0.0,0.07731268002416715,40000.0,3092.507200966686
S3_6month_realignment,S3: 6-month persistent realignment,ZAF,urea,0.5830380866651204,0.0549912958025777,1.058191311422132,-5.1,0.1349482271532023,0.05812220881132726,0.07446968103733087,-0.3119787442008768,-0.2556635154244248,-0.4323258432757617,-0.2255975005461312,325652946.112,-73466490.68835115
S3_6month_realignment,S3: 6-month persistent realignment,ZWE,urea,0.4522334587785821,0.0549912958025777,1.058191311422132,-5.1,0.1349482271532023,0.04508248796050732,0.07446968103733087,-0.22767843696257115,-0.16645766275463345,-0.2801143300335687,-0.15334133862785482,48049311.198,-7367945.699247695
S3_6month_realignment,S3: 6-month persistent realignment,AGO,lpg_propane,0.0265035937001096,0.0221927050920532,1.0226963995949145,-5.1,0.132365316732015,-0.02715836095411871,0.04612880468853212,-0.011361479377350485,0.03450946063524391,0.0,0.03511182114516787,49646.324,1743.1728488030553
S3_6month_realignment,S3: 6-month persistent realignment,AND,lpg_propane,0.0,0.0221927050920532,1.0226963995949145,-5.1,0.132365316732015,0.0,0.04612880468853212,0.0,0.04612880468853212,0.0,0.04720928773650476,216623.139,10226.624099435867
S3_6month_realignment,S3: 6-month persistent realignment,ARG,lpg_propane,0.0,0.0221927050920532,1.0226963995949145,-5.1,0.132365316732015,0.0,0.04612880468853212,0.0,0.04612880468853212,0.0,0.04720928773650476,220346.87,10402.418787668208
S3_6month_realignment,S3: 6-month persistent realignment,ARM,lpg_propane,0.0132384714743132,0.0221927050920532,1.0226963995949145,-5.1,0.132365316732015,-0.013565525899935418,0.04612880468853212,-0.005650518676981321,0.040350039581739515,0.0,0.041175162931976865,25992166.14,1070231.6757695123
S3_6month_realignment,S3: 6-month persistent realignment,ATG,lpg_propane,0.0,0.0221927050920532,1.0226963995949145,-5.1,0.132365316732015,0.0,0.04612880468853212,0.0,0.04612880468853212,0.0,0.04720928773650476,9025.916,426.10706552952206
S3_6month_realignment,S3: 6-month persistent realignment,AUS,lpg_propane,0.0001265936095425,0.0221927050920532,1.0226963995949145,-5.1,0.132365316732015,-0.00012972108542494613,0.04612880468853212,-5.380448106970367e-05,0.046073779039460076,0.0,0.0471516659510854,205521037.70499998,9690659.315786587
S3_6month_realignment,S3: 6-month persistent realignment,AZE,lpg_propane,0.0,0.0221927050920532,1.0226963995949145,-5.1,0.132365316732015,0.0,0.04612880468853212,0.0,0.04612880468853212,0.0,0.04720928773650476,274809.52999999997,12973.562174503637
S3_6month_realignment,S3: 6-month persistent realignment,BEL,lpg_propane,0.0,0.0221927050920532,1.0226963995949145,-5.1,0.132365316732015,0.0,0.04612880468853212,0.0,0.04612880468853212,0.0,0.04720928773650476,811983414.548,38333158.654666156
S3_6month_realignment,S3: 6-month persistent realignment,BFA,lpg_propane,0.0,0.0221927050920532,1.0226963995949145,-5.1,0.132365316732015,0.0,0.04612880468853212,0.0,0.04612880468853212,0.0,0.04720928773650476,323.352,15.265217608174288
S3_6month_realignment,S3: 6-month persistent realignment,BGR,lpg_propane,0.0,0.0221927050920532,1.0226963995949145,-5.1,0.132365316732015,0.0,0.04612880468853212,0.0,0.04612880468853212,0.0,0.04720928773650476,60565847.499,2859270.521585558
S3_6month_realignment,S3: 6-month persistent realignment,BIH,lpg_propane,0.0,0.0221927050920532,1.0226963995949145,-5.1,0.132365316732015,0.0,0.04612880468853212,0.0,0.04612880468853212,0.0,0.04720928773650476,2658285.216,125495.75164784072
S3_6month_realignment,S3: 6-month persistent realignment,BLZ,lpg_propane,0.0,0.0221927050920532,1.0226963995949145,-5.1,0.132365316732015,0.0,0.04612880468853212,0.0,0.04612880468853212,0.0,0.04720928773650476,13733842.540000001,648364.9241987094
S3_6month_realignment,S3: 6-month persistent realignment,BRA,lpg_propane,1.3655572596188863e-05,0.0221927050920532,1.0226963995949145,-5.1,0.132365316732015,-1.3992931441630704e-05,0.04612880468853212,-5.8036439161012e-06,0.04612286932279461,0.0,0.04720307218482413,721024324.0,34034563.21278602
S3_6month_realignment,S3: 6-month persistent realignment,BRB,lpg_propane,0.0,0.0221927050920532,1.0226963995949145,-5.1,0.132365316732015,0.0,0.04612880468853212,0.0,0.04612880468853212,0.0,0.04720928773650476,6917395.5,326565.31454670324
S3_6month_realignment,S3: 6-month persistent realignment,CAN,lpg_propane,0.0,0.0221927050920532,1.0226963995949145,-5.1,0.132365316732015,0.0,0.04612880468853212,0.0,0.04612880468853212,0.0,0.04720928773650476,44736446.622,2111975.7808867847
S3_6month_realignment,S3: 6-month persistent realignment,CHE,lpg_propane,0.0,0.0221927050920532,1.0226963995949145,-5.1,0.132365316732015,0.0,0.04612880468853212,0.0,0.04612880468853212,0.0,0.04720928773650476,20710905.63,977747.1031702664
S3_6month_realignment,S3: 6-month persistent realignment,CHL,lpg_propane,0.0,0.0221927050920532,1.0226963995949145,-5.1,0.132365316732015,0.0,0.04612880468853212,0.0,0.04612880468853212,0.0,0.04720928773650476,643809716.37,30393798.14766885
S3_6month_realignment,S3: 6-month persistent realignment,CHN,lpg_propane,0.2811219456477493,0.0221927050920532,1.0226963995949145,-5.1,0.132365316732015,-0.2880670205865004,0.04612880468853212,-0.13190804740266102,-0.08877308046776461,-0.14812998783739023,-0.08494680654031216,18743150528.0,-1592170781.8579657
S3_6month_realignment,S3: 6-month persistent realignment,COL,lpg_propane,0.0,0.0221927050920532,1.0226963995949145,-5.1,0.132365316732015,0.0,0.04612880468853212,0.0,0.04612880468853212,0.0,0.04720928773650476,7451679.9399999995,351788.5024078005
S3_6month_realignment,S3: 6-month persistent realignment,CYP,lpg_propane,0.0,0.0221927050920532,1.0226963995949145,-5.1,0.132365316732015,0.0,0.04612880468853212,0.0,0.04612880468853212,0.0,0.04720928773650476,35419.851,1672.145937443126
S3_6month_realignment,S3: 6-month persistent realignment,CZE,lpg_propane,0.0,0.0221927050920532,1.0226963995949145,-5.1,0.132365316732015,0.0,0.04612880468853212,0.0,0.04612880468853212,0.0,0.04720928773650476,61393254.0,2898331.793166322
S3_6month_realignment,S3: 6-month persistent realignment,DEU,lpg_propane,0.0,0.0221927050920532,1.0226963995949145,-5.1,0.132365316732015,0.0,0.04612880468853212,0.0,0.04612880468853212,0.0,0.04720928773650476,505649003.427,23871329.296462126
S3_6month_realignment,S3: 6-month persistent realignment,DNK,lpg_propane,0.0,0.0221927050920532,1.0226963995949145,-5.1,0.132365316732015,0.0,0.04612880468853212,0.0,0.04612880468853212,0.0,0.04720928773650476,26588722.498,1255234.6509541597
S3_6month_realignment,S3: 6-month persistent realignment,DOM,lpg_propane,0.0,0.0221927050920532,1.0226963995949145,-5.1,0.132365316732015,0.0,0.04612880468853212,0.0,0.04612880468853212,0.0,0.04720928773650476,408963325.36800003,19306867.300975733
S3_6month_realignment,S3: 6-month persistent realignment,ECU,lpg_propane,0.0,0.0221927050920532,1.0226963995949145,-5.1,0.132365316732015,0.0,0.04612880468853212,0.0,0.04612880468853212,0.0,0.04720928773650476,540005422.671,25493271.378148112
S3_6month_realignment,S3: 6-month persistent realignment,ESP,lpg_propane,0.0,0.0221927050920532,1.0226963995949145,-5.1,0.132365316732015,0.0,0.04612880468853212,0.0,0.04612880468853212,0.0,0.04720928773650476,856915720.977,40454380.837537624
S3_6month_realignment,S3: 6-month persistent realignment,EST,lpg_propane,0.0,0.0221927050920532,1.0226963995949145,-5.1,0.132365316732015,0.0,0.04612880468853212,0.0,0.04612880468853212,0.0,0.04720928773650476,5837914.6899999995,275603.794381378
S3_6month_realignment,S3: 6-month persistent realignment,FIN,lpg_propane,0.0,0.0221927050920532,1.0226963995949145,-5.1,0.132365316732015,0.0,0.04612880468853212,0.0,0.04612880468853212,0.0,0.04720928773650476,63981152.662,3020504.645733596
S3_6month_realignment,S3: 6-month persistent realignment,FJI,lpg_propane,0.0,0.0221927050920532,1.0226963995949145,-5.1,0.132365316732015,0.0,0.04612880468853212,0.0,0.04612880468853212,0.0,0.04720928773650476,973347.169,45951.02656883333
S3_6month_realignment,S3: 6-month persistent realignment,FRA,lpg_propane,0.0,0.0221927050920532,1.0226963995949145,-5.1,0.132365316732015,0.0,0.04612880468853212,0.0,0.04612880468853212,0.0,0.04720928773650476,955460088.479,45106590.23775141
S3_6month_realignment,S3: 6-month persistent realignment,GBR,lpg_propane,0.0,0.0221927050920532,1.0226963995949145,-5.1,0.132365316732015,0.0,0.04612880468853212,0.0,0.04612880468853212,0.0,0.04720928773650476,223696386.274,10560547.06522558
