refYear,layer,importer,world_total_imports_usd
2020,lpg_propane,MSR,255183.739
2020,lpg_propane,MUS,10544.192
2020,lpg_propane,MYS,8466050.355
2020,lpg_propane,NAM,3347623.751
2020,lpg_propane,NGA,172322.141
2020,lpg_propane,NIC,55156513.79
2020,lpg_propane,NLD,953587538.5220001
2020,lpg_propane,NZL,11636193.203
2020,lpg_propane,PAK,128284.472
2020,lpg_propane,PAN,32009457.0
2020,lpg_propane,PER,47082766.699999996
2020,lpg_propane,PHL,182176398.0
2020,lpg_propane,POL,299732821.0
2020,lpg_propane,PRT,205772266.44799998
2020,lpg_propane,PRY,5143868.0
2020,lpg_propane,PYF,1977248.858
2020,lpg_propane,QAT,43404.675
2020,lpg_propane,ROU,51552882.57
2020,lpg_propane,RUS,5617587.56
2020,lpg_propane,RWA,7.61
2020,lpg_propane,SAU,4791690.014
2020,lpg_propane,SGP,56730044.477
2020,lpg_propane,SLV,149725978.21
2020,lpg_propane,SRB,16895255.0
2020,lpg_propane,STP,7172.727999999999
2020,lpg_propane,SVK,27670313.202
2020,lpg_propane,SVN,16070955.769000001
2020,lpg_propane,SWE,257571388.101
2020,lpg_propane,SYC,11.011
2020,lpg_propane,THA,191316533.352
2020,lpg_propane,TTO,23432.091
2020,lpg_propane,TUR,37309556.0
2020,lpg_propane,TZA,4269.5
2020,lpg_propane,UGA,10906.0
2020,lpg_propane,UKR,332308316.31
2020,lpg_propane,URY,8384467.02
2020,lpg_propane,USA,1125673571.0
2020,lpg_propane,UZB,342631.0
2020,lpg_propane,VNM,220813282.11
2020,lpg_propane,ZAF,40358659.273
2020,lpg_propane,ZMB,18369.791999999998
2020,lpg_propane,ZWE,5246134.989
2020,urea,AGO,6835239.242000001
2020,urea,AND,103676.497
2020,urea,ARG,297871258.38
2020,urea,ARM,2485404.95
2020,urea,ATG,49428.048
2020,urea,AUS,666632706.457
2020,urea,AZE,2852657.66
2020,urea,BDI,87536.28
2020,urea,BEL,117802925.135
2020,urea,BEN,18476587.051000003
2020,urea,BFA,10775650.924
2020,urea,BGR,58944765.015
2020,urea,BIH,6461333.39
2020,urea,BLR,5598400.0
2020,urea,BLZ,1926805.31
2020,urea,BMU,224.94
2020,urea,BOL,7255766.24
2020,urea,BRA,1851898991.0
2020,urea,BRB,31070.0
2020,urea,BRN,16114.668999999998
2020,urea,BWA,1462615.113
2020,urea,CAN,271250510.019
2020,urea,CHE,26290722.505
2020,urea,CHL,157126258.174
2020,urea,CHN,1696280.0
2020,urea,COD,6802538.174
2020,urea,COL,185635613.28
2020,urea,CRI,6843488.0600000005
2020,urea,CYP,2250119.5549999997
2020,urea,CZE,99848821.0
2020,urea,DEU,75499907.666
2020,urea,DNK,12425447.657
2020,urea,DOM,32552781.985
2020,urea,ECU,82230406.543
2020,urea,EGY,544483.199
2020,urea,ESP,256738479.125
2020,urea,EST,19594451.67
2020,urea,FIN,13625161.232
2020,urea,FJI,253049.182
2020,urea,FRA,351058909.705
2020,urea,GBR,203673152.433
2020,urea,GEO,1873083.44
2020,urea,GHA,24104637.93
2020,urea,GMB,16192.31
2020,urea,GRC,63720769.93
2020,urea,GRD,12768.519
2020,urea,GTM,55474042.0
2020,urea,GUY,9179477.876
2020,urea,HKG,5625220.832
2020,urea,HRV,7594449.0
2020,urea,HUN,35432018.0
2020,urea,IDN,6402804.0
2020,urea,IND,2939677392.39
2020,urea,IRL,55806304.458
2020,urea,ISL,870230.578
2020,urea,ISR,30610000.0
2020,urea,ITA,243232761.56800002
2020,urea,JPN,115422760.985
2020,urea,KAZ,15655401.951
2020,urea,KEN,42825620.334
2020,urea,KGZ,7705224.0
2020,urea,KHM,48918076.730000004
2020,urea,KIR,15.115
2020,urea,KOR,234974280.0
2020,urea,LAO,4050817.51
2020,urea,LSO,530.473
2020,urea,LTU,17149480.0
2020,urea,LUX,7116528.697000001
2020,urea,LVA,17151946.25
2020,urea,MAC,65853.743
2020,urea,MAR,39138348.291999996
2020,urea,MDA,15039672.0
2020,urea,MDG,5422890.17
2020,urea,MEX,398043963.0
2020,urea,MKD,3610912.29
2020,urea,MLT,358023.857
2020,urea,MMR,118614909.544
2020,urea,MNE,98616.917
2020,urea,MNG,468478.46
2020,urea,MOZ,15184697.065
2020,urea,MRT,149414.577
2020,urea,MUS,2037515.051
2020,urea,MWI,91529942.028
2020,urea,MYS,58027852.712
2020,urea,NAM,140886.135
2020,urea,NIC,25904150.19
2020,urea,NLD,45551348.219
2020,urea,NZL,188079477.289
2020,urea,PAK,174279.88700000002
2020,urea,PAN,10391289.0
2020,urea,PER,26296275.02
2020,urea,PHL,315859065.0
2020,urea,POL,145753021.0
2020,urea,PRT,53072493.082
2020,urea,PRY,21417497.0
2020,urea,PSE,2394.8
2020,urea,PYF,147007.07700000002
2020,urea,ROU,68733825.82000001
2020,urea,RUS,2987012.51
2020,urea,RWA,2516398.38
2020,urea,SAU,149253.597
2020,urea,SEN,20357025.201
2020,urea,SGP,3977399.268
2020,urea,SLV,15145045.6
2020,urea,SRB,80916189.0
2020,urea,STP,21144.982
2020,urea,SVK,46230100.588
2020,urea,SVN,15920284.455
2020,urea,SWE,32413632.753
2020,urea,SYC,11822.902
2020,urea,TGO,7375178.082
2020,urea,THA,612569708.475
2020,urea,TTO,6381.138
2020,urea,TUR,587861930.0
2020,urea,TZA,63955343.49
2020,urea,UGA,1588050.0
2020,urea,UKR,13202114.24
2020,urea,URY,77135979.13
2020,urea,USA,1176385401.0
2020,urea,UZB,15711223.97
2020,urea,VNM,21218075.976999998
2020,urea,ZAF,178377139.96699998
2020,urea,ZMB,97150662.606
2020,urea,ZWE,33507527.83
2020,wheat,AGO,172757056.433
2020,wheat,AND,2318.365
2020,wheat,ARG,57819.25000000001
2020,wheat,ARM,72416416.97
2020,wheat,ATG,328.052
2020,wheat,AUS,125832901.109
2020,wheat,AZE,296905179.8
2020,wheat,BDI,22976667.912
2020,wheat,BEL,795857690.261
2020,wheat,BEN,7614605.517
2020,wheat,BFA,42120141.027
2020,wheat,BGR,9560302.742
2020,wheat,BIH,71505068.0
2020,wheat,BLR,4741300.0
2020,wheat,BLZ,4071656.94
2020,wheat,BMU,6958.169999999999
2020,wheat,BOL,25947705.63
2020,wheat,BRA,1459353630.0
2020,wheat,BRB,4131900.5
2020,wheat,BRN,32152.006
2020,wheat,BWA,52066787.649000004
2020,wheat,CAN,29854713.541
2020,wheat,CHE,109776320.31300001
2020,wheat,CHL,294689655.221
2020,wheat,CHN,2261718154.0
2020,wheat,COD,109238753.311
2020,wheat,COL,477628658.78999996
2020,wheat,CRI,14683699.33
2020,wheat,CYP,10381600.841
2020,wheat,CZE,18266192.0
2020,wheat,DEU,914824346.38
2020,wheat,DNK,41639487.324
2020,wheat,DOM,133149429.689
2020,wheat,ECU,325229057.374
2020,wheat,EGY,3216029283.021
2020,wheat,ESP,954878450.814
2020,wheat,EST,2379740.56
2020,wheat,FIN,1837763.621
2020,wheat,FJI,51468420.858
2020,wheat,FRA,77511763.91600001
2020,wheat,GBR,523692928.693
2020,wheat,GEO,107829962.97999999
2020,wheat,GHA,42180516.532
2020,wheat,GRC,211580538.859
2020,wheat,GRD,3270108.41
2020,wheat,GTM,170154114.0
2020,wheat,GUY,23103461.416
2020,wheat,HKG,1431186.955
2020,wheat,HRV,29255461.0
2020,wheat,HUN,40365567.0
2020,wheat,IDN,2616036587.0
2020,wheat,IND,68403.963
2020,wheat,IRL,74101612.122
2020,wheat,ISL,9423243.787
2020,wheat,ISR,355863000.0
2020,wheat,ITA,2024921226.111
2020,wheat,JPN,1523467262.622
2020,wheat,KAZ,92653702.444
2020,wheat,KEN,460308783.417
2020,wheat,KGZ,29241683.0
2020,wheat,KHM,3942104.01
2020,wheat,KOR,970453544.0
2020,wheat,LAO,1656.87
2020,wheat,LSO,5233772.229
2020,wheat,LTU,24218423.0
2020,wheat,LUX,38651178.978
2020,wheat,LVA,165395033.28399998
2020,wheat,MAC,358.407
2020,wheat,MAR,1409537485.35
2020,wheat,MDA,1040796.0
2020,wheat,MDG,19452855.041
2020,wheat,MEX,901744837.0
2020,wheat,MKD,22220130.0
2020,wheat,MLT,5510277.356
2020,wheat,MMR,136479724.21
2020,wheat,MNE,2543681.737
2020,wheat,MNG,27840695.66
2020,wheat,MOZ,213552440.113
2020,wheat,MRT,175803155.749
2020,wheat,MSR,36.419
2020,wheat,MUS,32599869.345000003
2020,wheat,MWI,44541227.15
2020,wheat,MYS,377012047.786
