period_dt,total_index,energy,non_energy,agriculture,beverages,food,oils_meals,grains,other_food,raw_materials,timber,other_raw_mat,fertilizers,metals_minerals,base_metals_ex_iron,precious_metals
2018-02-01,84.09397422301,82.11150234942,88.25601414648,88.66939482736,79.19739434443,92.91798384759,90.91016413225,86.8624480639,101.04059911112,83.16351356902,91.90225546593,73.60699269166,77.69608163431,88.60694031026,96.85980278199,102.11445723024
2018-03-01,84.41389411862,82.81470943499,87.8596047137,90.04237511158,82.33293325929,93.99571600277,92.73633957102,89.11253621452,100.07253102539,84.35758917164,92.21696252008,75.76272890763,78.2752110409,84.47107154647,92.89561970016,101.55990823956
2018-04-01,88.70097482652,88.39745161513,89.54554868713,91.66347103551,84.32255892236,96.09351687844,94.12766867733,93.65017821069,100.8913522355,84.63310890158,92.41907329116,76.11852726992,78.5918444877,86.44544399191,96.06204687946,102.30366417478
2018-05-01,92.94292760355,94.59639606445,89.72990723685,91.84680878466,85.46113104633,96.78577136753,92.24433047437,94.41467593589,104.90665212783,83.09428116634,89.01255405664,76.62217121033,77.3963629596,86.78852726804,96.42910425002,100.12711201806
2018-06-01,91.7496271818,93.66852843184,87.92563899832,88.9360588919,80.98340242773,93.37615370344,86.49199689232,90.47682378876,105.057227871,82.19234304833,88.00855596148,75.83184392988,78.03045075884,86.97667991636,96.82992494528,98.74483486122
2018-07-01,90.07734713982,93.02886321127,84.13866192383,86.3509493619,79.64196478183,89.97371015065,83.14957513238,86.67053121377,101.94136191846,80.96061477547,87.12471664845,74.2196709492,82.63548241514,79.77226290302,88.02727016857,95.08271417539
2018-08-01,88.91309686303,91.9861252694,82.7053223319,84.83893493984,75.32147782001,88.70595371007,81.61115822327,90.40158001442,96.5050410343,80.2832171521,85.74335626713,74.31211352396,84.56561082431,78.11847133652,85.57627580544,92.04946112032
2018-09-01,92.92097895777,98.72449947898,81.14865860076,82.6475130218,73.73378605031,85.62363480208,79.26591199374,85.80496393493,93.82369185786,79.94930124471,86.45118866545,72.8389616087,86.69724736239,77.44491643466,84.54056187506,91.16666870756
2018-10-01,94.29807401771,100.22216927105,82.28123876428,83.38316256025,77.44843588372,86.37324829236,79.28649462176,87.37421206765,94.79052620857,79.13625682937,86.08704789578,71.53500475856,88.15180038914,79.35498638732,86.10258604245,92.60288210482
2018-11-01,83.33834179539,84.43680708935,81.11014054193,82.20543119436,77.56850478643,84.80968252344,76.64427222827,85.85472255992,94.60613993289,78.2360271913,85.40568827341,70.39542306052,93.11753627303,77.50087473856,83.84137392878,92.74102582881
2018-12-01,76.82447248778,74.89874647623,80.73074529985,82.52112239766,74.79519935779,86.07561865289,76.60478780771,88.39476270339,96.43623141207,77.81373567546,84.53455327679,70.46397818432,89.42814531776,76.0717046308,82.73338904107,94.91220263056
2019-01-01,77.80528858762,76.20477086944,81.05188691482,83.30613022329,75.25318139513,86.96569315911,78.43958817734,88.44608964897,96.84261782812,78.50976389006,86.17627455764,70.12581456241,86.81908444447,75.77415348893,81.25109257844,98.37086266893
2019-02-01,80.88447188743,80.08603918756,82.50406674623,83.53863994001,74.27808731419,87.44564925642,78.50922528179,89.97086902602,96.91667076538,78.7551312579,86.5114448674,70.2729751518,84.8397441476,80.11719819835,84.68173946385,100.37231845846
2019-03-01,82.25295291732,82.22320089448,82.31330393155,82.79775634034,72.57524542323,86.19542139779,75.99113416204,87.62839381344,98.32307935868,79.74087081735,87.21690524267,71.56522266249,84.27847966104,81.09669812297,86.16782754337,98.71735903429
2019-04-01,85.15684593844,86.42673201639,82.58092317949,82.94189469706,74.75159018814,85.96681748106,75.52380393333,86.71345039281,99.02977932237,79.75727052196,86.44028848109,72.44884999604,84.70614727318,81.59938825983,85.63514130189,97.62943667013
2019-05-01,83.8079571813,85.17577272239,81.03338767973,82.00835563936,74.6865433267,84.99140552088,73.61094925375,88.87592042789,96.44742359152,78.4838518555,85.78525112664,70.49918136269,84.42242092393,78.64918879652,80.97121594065,97.01039838875
2019-06-01,78.29894367053,76.33927157328,82.27407501741,84.01804198545,76.80627036519,88.06205901492,75.74695924537,95.57410557998,97.46424670232,77.85989621593,85.33015978197,69.69055896232,83.78403663812,78.52608899238,79.41865475445,102.09558250243
2019-07-01,78.80536187042,77.03842163234,82.38954288638,83.03441674862,78.05464317344,86.85765171259,75.36913291606,92.96283410303,96.44581004913,76.27774475155,84.28643927014,67.5195897139,82.70519020904,81.0311841945,80.70522325566,106.2981342537
2019-08-01,74.11341278572,71.59163373571,79.22875987141,80.64017703877,73.64291659015,84.69030376453,76.30683386287,86.11621684952,94.42889386795,74.35811232617,83.04147911668,64.86214860529,81.7454226209,76.04850306889,78.89430257903,113.23438193159
2019-09-01,76.87037201661,75.5647419957,79.51880020559,80.68252243063,74.91234653875,84.21031883363,75.95472727447,85.02156041845,94.3370397487,75.0455427659,83.79981061721,65.472043002,77.83964961817,77.32280800948,80.46323800032,114.93394364649
2019-10-01,75.17335809209,72.67367319761,80.24388789923,82.22925514314,76.07343556778,86.30144325931,77.61785275165,88.12947547649,96.07089428223,75.46573343033,85.10078473151,64.92902574401,77.73231589264,76.45733090765,80.12169750534,113.35182109835
